Date,Zach,Pete,,Zach Total,Pete Total,Delta,,Zach Wins,Pete Wins,,Score,Zach Scores,Score,Pete Scores,,,,Date,Games Played,Pete Score,Zach Score
2024-11-01,,4,,,,,,,,,,,,,,,,,,,
2024-11-01,1,,,,,,,,,,,,,,,,,,,,
2024-11-01,,2,,,,,,,,,,,,,,,,,,,
2024-11-09,1,,,,,,,,,,,,,,,,,,,,
2024-11-14,,1,,,,,,,,,,,,,,,,,,,
2024-11-14,,2,,,,,,,,,,,,,,,,,,,
2024-11-14,2,,,,,,,,,,,,,,,,,,,,
2024-11-14,8,,,,,,,,,,,,,,,,,,,,
2024-11-14,,1,,,,,,,,,,,,,,,,,,,
2024-11-11,1,,,,,,,,,,,,,,,,,,,,
2024-11-11,,1,,,,,,,,,,,,,,,,,,,
2024-11-11,1,,,,,,,,,,,,,,,,,,,,
2024-11-14,1,,,,,,,,,,,,,,,,,,,,
2024-11-14,2,,,,,,,,,,,,,,,,,,,,
2024-11-14,,1,,,,,,,,,,,,,,,,,,,
2024-11-17,1,,,,,,,,,,,,,,,,,,,,
2024-11-17,,2,,,,,,,,,,,,,,,,,,,
2025-02-23,4,,,Gammon,,,,,,,,,,,,,,,,,
2025-03-01,,1,,,,,,,,,,,,,,,,,,,
2025-03-01,4,,,,,,,,,,,,,,,,,,,,
2025-03-09,,4,,,,,,,,,,,,,,,,,,,
2025-03-09,,1,,,,,,,,,,,,,,,,,,,
2025-03-09,1,,,,,,,,,,,,,,,,,,,,
2025-03-09,,1,,,,,,,,,,,,,,,,,,,
2025-03-09,,2,,,,,,,,,,,,,,,,,,,
2025-03-12,,2,,,,,,,,,,,,,,,,,,,
2025-03-12,,1,,,,,,,,,,,,,,,,,,,
2025-03-12,,2,,Gammon,,,,,,,,,,,,,,,,,
2025-03-12,,1,,,,,,,,,,,,,,,,,,,
2025-03-12,,2,,Gammon,,,,,,,,,,,,,,,,,
2025-03-12,1,,,,,,,,,,,,,,,,,,,,
2025-03-12,2,,,,,,,,,,,,,,,,,,,,
2025-03-14,,4,,,,,,,,,,,,,,,,,,,
2025-03-14,2,,,,,,,,,,,,,,,,,,,,
2025-03-14,4,,,,,,,,,,,,,,,,,,,,
2025-03-14,2,,,,,,,,,,,,,,,,,,,,
2025-03-14,,4,,,,,,,,,,,,,,,,,,,
2025-03-14,,8,,Beaver gammon,,,,,,,,,,,,,,,,,
2025-03-14,,2,,,,,,,,,,,,,,,,,,,
